15:36:42: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 46] Logger initialized
15:36:42: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | create | 48] Successfully created a Command object
15:36:42: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 63] Successfully created Command worker.
15:36:42: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:42: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:42: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 4.000 m/s
15:36:42: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Successfully sent CHANGE_ALTITUDE message
15:36:43: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:43: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:43: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 1.000 m/s
15:36:43: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 110] Successfully sent CHANGE_ALTITUDE message
15:36:43: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:43: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:43: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.667 m/s
15:36:44: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:44: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:44: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.500 m/s
15:36:44: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:44: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:44: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.400 m/s
15:36:45: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:45: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:45: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.333 m/s
15:36:45: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:45: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:45: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.286 m/s
15:36:46: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:46: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 2.500 m/s
15:36:46: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.250 m/s
15:36:46: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Successfully sent CHANGING YAW message
15:36:46: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:46: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 4.444 m/s
15:36:46: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.222 m/s
15:36:46: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Successfully sent CHANGING YAW message
15:36:47: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:47: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 6.000 m/s
15:36:47: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.200 m/s
15:36:47: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Successfully sent CHANGING YAW message
