15:35:48: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 45] Logger initialized
15:35:48: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | create | 32] Successfully created a HeartbeatReciever object
15:35:48: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 62] Heartbeat Receiver Worker object successfully created
15:35:48: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 78] Heartbeat message received.
15:35:49: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 78] Heartbeat message received.
15:35:50: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 1
15:35:50: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 78] Heartbeat message received.
15:35:51: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 78] Heartbeat message received.
15:35:52: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 1
15:35:52: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 78] Heartbeat message received.
15:35:53: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 1
15:35:54: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 2
15:35:55: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 3
15:35:56: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 4
15:35:57: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 5
15:35:58: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 6
15:35:59: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 7
15:36:00: [WARNING] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 75] No heartbeat received. Missing count: 8
